affiliation,model_size,type,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,THREAT,PROFANITY,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INFLAMMATORY,LIKELY_TO_REJECT,SPAM,INCOHERENT,UNSUBSTANTIAL,SEXUALLY_EXPLICIT,OBSCENE
progressive,25,model,0.0065971822,0.0012397766,0.0017481487,0.0066293706,0.0065633263,0.011902207,0.03816044,0.30885556,0.074736536,0.87923026,0.11079287,0.7468593,0.8923531,0.008256803,0.12862197
progressive,25,model,0.7761081,0.07805709,0.10221587,0.75027496,0.010964886,0.5013569,0.07568898,0.14503647,0.8294702,0.859932,0.10864971,0.4506736,0.72937065,0.058466934,0.49682993
progressive,25,model,0.75208336,0.023076924,0.019173764,0.7492263,0.0074565844,0.2813443,0.6253344,0.41928086,0.5680319,0.6653153,0.021713674,0.3448639,0.79885787,0.01480327,0.114118114
progressive,25,model,0.04686289,0.0012874603,0.0028118372,0.020837102,0.007301235,0.015523086,0.013998446,0.13718438,0.5784417,0.5854045,0.4623271,0.9737991,0.64445686,0.0071657263,0.50729525
progressive,25,model,0.44573322,0.021935565,0.41975367,0.4339631,0.009696201,0.12991914,0.014517048,0.10040099,0.90887594,0.80998653,0.014097502,0.48626843,0.6088033,0.020052237,0.111341
progressive,25,model,0.6852916,0.16960317,0.029660052,0.3388922,0.010239923,0.64080805,0.034579985,0.06431048,0.5815417,0.98130053,0.13955423,0.21843003,0.5987433,0.06376713,0.9832636
progressive,25,model,0.3389984,0.019611536,0.056582913,0.0820023,0.49142194,0.07676199,0.05264797,0.100507066,0.5680319,0.6933091,0.1529573,0.87939453,0.7765177,0.037037663,0.15580297
progressive,25,model,0.024731753,0.0022125244,0.006178642,0.010096892,0.009359611,0.020851927,0.06684588,0.057020713,0.08481783,0.7042994,0.14491847,0.55614024,0.9592708,0.018164968,0.03767913
progressive,25,model,0.2854903,0.0128976675,0.29798782,0.071116626,0.02440793,0.08193458,0.16576706,0.24007246,0.75058323,0.8306681,0.021068152,0.55573106,0.8307522,0.032555398,0.2790316
progressive,25,model,0.011560776,0.00054836273,0.0013041744,0.009507888,0.0054920646,0.01627459,0.074597254,0.16721454,0.18668452,0.59454834,0.29682815,0.89032257,0.8551393,0.0077849864,0.4432257
progressive,25,model,0.3127066,0.012207031,0.29951343,0.11978693,0.020436687,0.094542764,0.062363036,0.30645582,0.66787535,0.6803355,0.033549912,0.6577007,0.5407932,0.026775636,0.06654693
progressive,25,model,0.35186127,0.005531311,0.013144426,0.36798462,0.008065036,0.051431753,0.039195813,0.12659252,0.61835533,0.43138453,0.020333074,0.6235738,0.61277455,0.010792822,0.027745157
progressive,25,model,0.15158679,0.0020217896,0.0053276913,0.07903719,0.0077672824,0.015010698,0.024785226,0.04220822,0.3072151,0.24422637,0.028119389,0.5176171,0.65017265,0.0046591964,0.030416448
progressive,25,model,0.029917045,0.002231598,0.0074365693,0.012946909,0.008712323,0.020646973,0.12770018,0.11456036,0.1250755,0.7516465,0.56468964,0.7702865,0.91440624,0.016159745,0.08872467
progressive,25,model,0.06025757,0.0020599365,0.006696612,0.02264188,0.008815889,0.02522431,0.38506928,0.14376086,0.43938324,0.60080904,0.4196633,0.9375,0.7745445,0.019934284,0.3068752
progressive,25,model,0.38434127,0.01986976,0.14875233,0.42567953,0.04167421,0.0684662,0.0451937,0.30072197,0.64958316,0.8310515,0.29609892,0.89032257,0.40238678,0.024298593,0.476608
progressive,25,model,0.6020386,0.04397394,0.055673428,0.4986907,0.008764107,0.64657205,0.013345438,0.11070148,0.46292603,0.99295574,0.00658514,0.03538355,0.027848912,0.12920977,0.99369305
progressive,25,model,0.74954444,0.023082556,0.03249594,0.7657292,0.009281937,0.33954415,0.20405352,0.72761667,0.89870363,0.95890546,0.00701141,0.12374973,0.56641364,0.025124274,0.52095217
progressive,25,model,0.27047762,0.005645752,0.017163984,0.18107465,0.010058682,0.06345607,0.07018586,0.56678253,0.51195633,0.61429495,0.09072605,0.7230197,0.59667826,0.029724494,0.2126923
progressive,25,model,0.023199737,0.0022220612,0.0053276913,0.00979289,0.0084793,0.019963788,0.055100266,0.18877918,0.064457625,0.79789793,0.15387227,0.6690183,0.9592708,0.02500632,0.036324233
progressive,25,model,0.38434127,0.013414118,0.14233272,0.39297962,0.007948523,0.098377466,0.05430537,0.39851698,0.785763,0.88375306,0.0053130644,0.20365487,0.85280865,0.0115595255,0.033872955
progressive,25,model,0.079250954,0.002632141,0.007029593,0.02567133,0.0074048014,0.043916557,0.11140508,0.13492131,0.2080857,0.5854045,0.17586468,0.7712451,0.83331025,0.03184767,0.10551504
progressive,25,model,0.76523775,0.16960317,0.01274247,0.26957804,0.0084793,0.8802007,0.040597923,0.24422552,0.2756781,0.9996932,0.06713529,0.05622537,0.3211786,0.14444233,0.9892319
progressive,25,model,0.015330595,0.0013542175,0.0037182847,0.0094128875,0.0074954215,0.015215653,0.08104571,0.4828118,0.056290768,0.5474777,0.31524378,0.48709658,0.86379206,0.015039179,0.010368103
progressive,25,model,0.11223003,0.0038528442,0.007029593,0.020643732,0.013372798,0.046922635,0.37851277,0.08710025,0.16346906,0.6508209,0.044505015,0.4902497,0.8579436,0.018400878,0.054229192
progressive,25,model,0.023553278,0.0007677078,0.003921773,0.013326911,0.006194372,0.011116544,0.0075903377,0.11508823,0.20551535,0.4129747,0.08356887,0.78510565,0.6838852,0.0037008175,0.047168437
progressive,25,model,0.23739935,0.0062561035,0.02238941,0.110259406,0.008505191,0.1110661,0.041213162,0.18540406,0.12022372,0.9248177,0.04848961,0.53625524,0.9652282,0.010674868,0.02308314
progressive,25,model,0.03062413,0.0017547607,0.0049577127,0.011958904,0.0074565844,0.022149978,0.048884585,0.36190408,0.15058514,0.6707826,0.01910165,0.28746352,0.8641253,0.016749516,0.18848182
progressive,25,model,0.036162965,0.0016880035,0.0043102503,0.01465692,0.008052089,0.01846078,0.012039931,0.05488156,0.13882555,0.31790546,0.033985224,0.4681418,0.68796915,0.01332884,0.039812446
progressive,25,model,0.19504376,0.0019741058,0.008435511,0.13969865,0.007068211,0.015283971,0.07478303,0.2534272,0.5680319,0.5854045,0.1281943,0.54021204,0.77731156,0.0032584886,0.086748295
progressive,25,model,0.058737632,0.0014019012,0.006289636,0.021868404,0.0070164283,0.019007329,0.059198707,0.15290527,0.12586224,0.55735666,0.045394827,0.59320825,0.8923531,0.0072541917,0.048947997
progressive,25,model,0.47473195,0.014963473,0.10221587,0.5362655,0.0097738765,0.10054382,0.21732135,0.2437959,0.6587221,0.33341056,0.020001605,0.579752,0.3847847,0.01686747,0.033934973
progressive,25,model,0.10913446,0.005683899,0.007214582,0.022384055,0.009877442,0.0864606,0.038125306,0.1286755,0.23362505,0.9918212,0.21077856,0.6936532,0.62015444,0.038679544,0.98813224
progressive,25,model,0.022256956,0.0014877319,0.004236255,0.012376905,0.007068211,0.017914234,0.06395069,0.2706208,0.18065977,0.7783397,0.173188,0.89032257,0.8579436,0.0129749775,0.32880738
progressive,25,model,0.3367073,0.0044822693,0.008842488,0.37166002,0.009048914,0.040910475,0.011119559,0.052480847,0.25388584,0.21982718,0.025659,0.5256331,0.21985403,0.005897717,0.05557903
progressive,25,model,0.06896287,0.0014877319,0.0047357255,0.027841117,0.008634649,0.012141321,0.19154252,0.67403555,0.19173825,0.65864897,0.041204277,0.36649325,0.78314275,0.003170023,0.031047912
progressive,25,model,0.07608539,0.0013542175,0.006030651,0.028832749,0.008336896,0.012722028,0.029611265,0.11383833,0.63009876,0.47873962,0.1510916,0.7049262,0.67932856,0.0049245935,0.585443
progressive,25,model,0.200795,0.0037574768,0.19495805,0.07555214,0.0064468146,0.019348921,0.6275401,0.46842197,0.5680319,0.47011268,0.08328389,0.5383141,0.3865471,0.008433735,0.06852376
progressive,25,model,0.3389984,0.017222947,0.28034934,0.16751462,0.04167421,0.1067334,0.16492096,0.33211356,0.6483123,0.87923026,0.42145738,0.9375,0.751994,0.028309042,0.45834154
progressive,25,model,0.5024724,0.023246882,0.2774022,0.5130944,0.008000307,0.3424554,0.18175505,0.45695588,0.861513,0.9248177,0.0017426813,0.10181134,0.6056451,0.043273047,0.55928534
progressive,25,model,0.28547668,0.0077819824,0.010581387,0.26957804,0.00948907,0.08840031,0.08391085,0.3566373,0.3414418,0.7143133,0.023329942,0.45629302,0.8923531,0.030432219,0.09458891
progressive,25,model,0.50789946,0.018320406,0.048480038,0.5678696,0.027170537,0.20592089,0.040976137,0.22110072,0.6746807,0.36659545,0.06703238,0.63648355,0.43026963,0.017457243,0.082001686
progressive,25,model,0.21642438,0.004463196,0.01656105,0.09563028,0.0130621,0.02126184,0.0008919663,0.020104952,0.5546988,0.62731117,0.008307921,0.5645586,0.82975787,0.0056323195,0.014747426
progressive,25,model,0.021549871,0.0009727478,0.008435511,0.0103248935,0.006815769,0.014498309,0.015051393,0.009631477,0.16898873,0.24956925,0.07899138,0.68146485,0.067388944,0.007224703,0.585443
progressive,125,human,0.1893425,0.005569458,0.009693438,0.047349896,0.011146127,0.10735235,0.2726849,0.4065587,0.47762793,0.42275503,0.16309269,0.7722331,0.60905886,0.044156414,0.4124402
progressive,125,human,0.37751234,0.015350811,0.009175468,0.16875735,0.011819307,0.40185395,0.013318738,0.018951824,0.71130204,0.921151,0.043320715,0.4973068,0.1861243,0.03184767,0.9830818
progressive,125,human,0.014136819,0.00052690506,0.0029043318,0.009051885,0.006162008,0.010330882,0.0020938516,0.006901936,0.19247143,0.16517995,0.00963977,0.4430671,0.20787753,0.004541242,0.06417159
